,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
190,278.5358856,9.56696,18h34m08.61s,09d34m01.06s,0.0383,0.0371,-0.0153,10.653,0.017,62.3,17.14,10.667,0.023,48.0,8.512,1,0,,,5,58938.69615286,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.495486,130.836631
191,278.5358972,9.566956,18h34m08.62s,09d34m01.04s,0.0377,0.0349,-0.0071,10.606,0.017,65.5,24.73,10.618,0.021,52.7,6.683,1,0,,,5,58938.76160461,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.536294,129.123519
192,278.5359391,9.5669548,18h34m08.63s,09d34m01.04s,0.0411,0.0379,-0.0092,10.625,0.019,57.8,55.22,10.727,0.023,48.1,24.34,1,0,,,5,58938.82692895,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.660642,121.249585
193,278.5359021,9.5669684,18h34m08.62s,09d34m01.09s,0.0365,0.0336,-0.0107,10.617,0.016,67.2,34.71,10.678,0.021,50.6,3.736,1,0,,,5,58938.89238064,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.523611,124.126685
194,278.5358686,9.5669567,18h34m08.61s,09d34m01.04s,0.0489,0.0455,-0.0192,10.682,0.024,46.1,29.88,10.663,0.03,35.9,10.75,1,0,,,10,58939.02315677,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.460156,136.880634
195,278.5358495,9.56697,18h34m08.60s,09d34m01.09s,0.0391,0.0406,-0.0175,10.606,0.02,53.0,5.674,10.662,0.021,50.8,6.124,1,0,,,5,58939.15393281,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.379224,139.414409
196,278.5358999,9.5669414,18h34m08.62s,09d34m00.99s,0.0394,0.0364,-0.0152,10.662,0.022,50.5,20.4,10.649,0.021,51.8,6.779,1,0,,,10,58939.2848362,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.57794,132.56839
197,278.5358531,9.5669488,18h34m08.60s,09d34m01.02s,0.035,0.0335,-0.0131,10.677,0.017,62.1,19.05,10.691,0.021,51.3,7.357,1,0,,,5,59102.2247501,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.447288,144.538264
198,278.535926,9.5669509,18h34m08.62s,09d34m01.02s,0.0392,0.0391,-0.0087,10.732,0.02,54.0,25.88,10.66,0.021,51.8,7.767,1,0,,,5,59102.35603525,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.629207,124.541203
199,278.535869,9.5669366,18h34m08.61s,09d34m00.97s,0.0397,0.038,-0.0136,10.658,0.017,63.2,39.45,10.63,0.024,46.0,7.433,1,0,,,5,59102.48681117,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.516216,142.263097
200,278.5358818,9.5669597,18h34m08.61s,09d34m01.05s,0.0417,0.0384,-0.0111,10.683,0.02,53.2,25.97,10.592,0.023,46.9,15.41,1,0,,,5,59102.55162603,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.486083,131.972777
201,278.5359094,9.5669504,18h34m08.62s,09d34m01.02s,0.0419,0.0387,-0.0182,10.673,0.022,48.9,24.11,10.639,0.023,48.2,13.16,1,0,,,5,59102.55175334,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.582734,127.974251
202,278.5358904,9.5669593,18h34m08.61s,09d34m01.05s,0.0387,0.0359,-0.0176,10.639,0.017,65.7,21.47,10.669,0.02,55.6,2.11,1,0,,,5,59102.61758696,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.510104,129.799208
203,278.5360052,9.5669534,18h34m08.64s,09d34m01.03s,0.0424,0.0384,-0.0093,10.661,0.021,51.6,20.04,10.676,0.021,52.0,10.13,1,0,,,5,59102.68291117,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.87181,113.509122
204,278.5358748,9.566943,18h34m08.61s,09d34m00.99s,0.0409,0.0373,-0.0124,10.643,0.021,51.6,38.23,10.633,0.024,46.1,11.61,1,0,,,5,59102.68303853,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.5115,138.857612
205,278.5359162,9.5669503,18h34m08.62s,09d34m01.02s,0.0375,0.0328,-0.0111,10.654,0.016,69.3,25.21,10.652,0.023,46.3,5.975,1,0,,,10,59102.74836279,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.602156,126.587825
206,278.5359141,9.5669668,18h34m08.62s,09d34m01.08s,0.0408,0.0379,0.0079,10.751,0.021,52.0,13.0,10.642,0.021,52.6,8.236,1,0,,,10,59102.81368699,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.562432,122.177404
207,278.5358383,9.5669501,18h34m08.60s,09d34m01.02s,0.0393,0.0404,0.0038,10.671,0.022,48.6,30.15,10.667,0.022,49.6,11.08,1,0,,,5,59102.81381436,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.414934,150.080986
208,278.5359325,9.5669454,18h34m08.62s,09d34m01.00s,0.0376,0.0331,-0.0122,10.668,0.016,67.6,21.15,10.691,0.019,56.0,6.353,1,0,,,5,59102.87913861,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.659447,124.821526
209,278.5358177,9.5669584,18h34m08.60s,09d34m01.05s,0.0354,0.0348,0.0044,10.665,0.019,58.0,42.81,10.71,0.022,48.5,8.141,1,0,,,10,59102.94459019,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.355886,157.910328
210,278.5358929,9.5669611,18h34m08.61s,09d34m01.06s,0.0361,0.0318,-0.0116,10.641,0.016,66.1,29.11,10.693,0.02,54.3,11.78,1,0,,,5,59103.07536602,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.512893,128.608353
211,278.5358739,9.5669481,18h34m08.61s,09d34m01.01s,0.0386,0.0328,-0.0107,10.679,0.017,65.4,29.98,10.653,0.021,52.7,6.736,1,0,,,10,59103.2061419,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.495667,137.739338
212,278.5359263,9.5669504,18h34m08.62s,09d34m01.02s,0.0397,0.0345,-0.0152,10.587,0.017,62.1,41.16,10.671,0.021,51.8,18.6,1,0,,,0,59103.33691767,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.631104,124.620991
213,278.5358838,9.5669694,18h34m08.61s,09d34m01.09s,0.0425,0.0377,-0.0119,10.666,0.021,52.1,30.98,10.664,0.02,55.0,9.215,1,0,,,10,59302.3881825,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.469011,128.218483
214,278.5359021,9.5669803,18h34m08.62s,09d34m01.13s,0.0367,0.033,0.0123,10.641,0.019,56.6,28.98,10.646,0.019,56.4,6.565,1,0,,,5,59302.38830986,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.500834,120.066321
215,278.5359098,9.5669464,18h34m08.62s,09d34m01.01s,0.0359,0.0332,-0.0112,10.657,0.016,69.7,25.6,10.669,0.021,52.7,3.359,1,0,,,5,59302.51895856,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.592804,128.986985
216,278.535899,9.5669555,18h34m08.62s,09d34m01.04s,0.0365,0.0355,-0.0118,10.672,0.016,66.0,18.69,10.741,0.024,44.9,7.363,1,0,,,10,59302.64973466,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.542399,128.845112
217,278.5359416,9.5669811,18h34m08.63s,09d34m01.13s,0.0346,0.0318,-0.0124,10.62,0.015,70.7,31.1,10.623,0.02,54.5,7.594,1,0,,,10,59302.71505906,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.624997,113.382431
218,278.5358843,9.5669404,18h34m08.61s,09d34m00.99s,0.0368,0.0377,-0.0125,10.709,0.019,57.2,35.68,10.645,0.022,50.2,12.78,1,0,,,10,59302.78051073,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.541082,136.819961
