MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58419.211366  13.313  0.076 17176 1306 o  0   1.65 278.53578   9.56705  9094.31  3476.58 2.57 2.41 -77.1 -0.462 14.63 15.39 02a58419o0065o
58419.231769   1.422  1.110 -13456594987 14939999159 o  0   1.26 278.53578   9.56705  9163.04  3435.65 2.52 2.31 -68.2 -0.443 -3.24 -2.53 02a58419o0105o
58423.236876  13.395  0.003 15916   46 o  0 3708.81 278.53578   9.56705  2358.95  3987.52 2.41 2.21 -65.9 -0.446 19.17 20.30 02a58423o0121o
58423.244078  13.385  0.003 16076   47 o  0 3804.96 278.53578   9.56705  2339.96  3948.01 2.50 2.41 -46.6 -0.450 19.03 20.24 02a58423o0135o
58423.251958  13.391  0.003 15977   46 o  0 3985.63 278.53578   9.56705  2395.95  4025.21 2.53 2.41 -48.2 -0.443 19.05 20.21 02a58423o0150o
58423.258383  13.373  0.003 16247   46 o  0 1576.27 278.53578   9.56705  2414.39  3907.82 2.47 2.25 -59.0 -0.432 19.08 20.17 02a58423o0163o
58424.191570  13.364  0.006 16376   90 o  0 411.33 278.53578   9.56705   574.07  5887.93 3.01 2.76  -5.8 -0.482 17.77 18.26 01a58424o0027o
58424.194552  13.395  0.005 15925   76 o  0 318.30 278.53578   9.56705 10282.80  5719.40 3.68 2.69 -83.5 -0.518 18.18 18.91 01a58424o0033o
58424.197416  13.325  0.003 16986   58 o  0 646.55 278.53578   9.56705   594.48  5923.93 2.82 2.73 -15.5 -0.491 18.66 19.71 01a58424o0039o
58424.201715  13.351  0.004 16580   58 o  0 2633.20 278.53578   9.56705 10304.44  5756.70 3.44 2.69 -80.9 -0.516 18.88 20.12 01a58424o0048o
58424.205737  13.320  0.003 17054   57 o  0 2237.41 278.53578   9.56705   537.10  5844.77 2.99 2.92 -37.8 -0.472 18.89 20.39 01a58424o0056o
58424.211555  13.342  0.003 16711   58 o  0 3478.59 278.53578   9.56705 10247.58  5680.89 3.50 2.73 -83.2 -0.511 18.96 20.35 01a58424o0068o
58424.216029  13.325  0.003 16982   56 o  0 1194.64 278.53578   9.56705   520.79  5960.78 2.99 2.92 -52.6 -0.469 18.90 20.49 01a58424o0077o
58424.221524  13.374  0.004 16236   60 o  0 1662.61 278.53578   9.56705 10228.17  5800.45 3.53 2.82 -81.1 -0.510 18.94 20.37 01a58424o0088o
58430.216348  13.859  0.003 10383   34 c  0 2154.26 278.53578   9.56705  1893.99  5796.37 2.74 2.44 -61.3 -0.396 19.42 21.07 02a58430o0041c
58430.226349  13.879  0.003 10196   35 c  0 5057.18 278.53578   9.56705  1877.61  5755.93 2.62 2.40 -61.7 -0.405 19.43 21.04 02a58430o0062c
58430.236339  13.864  0.003 10339   36 c  0 4095.63 278.53578   9.56705  1935.67  5832.54 2.58 2.38 -64.4 -0.415 19.40 20.98 02a58430o0083c
58430.246148  13.855  0.004 10427   38 c  0 435.59 278.53578   9.56705  1955.45  5715.13 2.51 2.35 -62.9 -0.431 19.36 20.92 02a58430o0104c
58431.218149  13.975  0.004  9334   33 c  0 769.96 278.53578   9.56705   198.18  6327.94 2.32 2.25 -20.1 -0.368 19.45 21.04 02a58431o0077c
58431.228104  13.973  0.004  9351   33 c  0 1017.32 278.53578   9.56705   181.22  6287.25 2.28 2.19  -9.5 -0.378 19.48 20.99 02a58431o0098c
58431.229513  13.904  0.003  9965   34 c  0 1600.63 278.53578   9.56705  9908.38  6333.26 2.58 2.45 -42.4 -0.435 19.46 21.06 02a58431o0101c
58431.238110  13.958  0.004  9483   34 c  0 1228.27 278.53578   9.56705   240.10  6363.56 2.33 2.22   1.3 -0.381 19.38 20.93 02a58431o0119c
58431.239561  13.936  0.004  9672   37 c  0 3301.71 278.53578   9.56705  9891.69  6292.23 2.48 2.39 -30.4 -0.468 19.46 21.01 02a58431o0122c
58431.248016  13.936  0.004  9674   35 c  0 557.73 278.53578   9.56705   261.44  6246.11 2.34 2.24   8.2 -0.391 19.37 20.89 02a58431o0140c
58431.249387  13.954  0.004  9515   43 c  0 345.71 278.53578   9.56705  9949.56  6370.76 2.49 2.40 -29.6 -0.478 19.42 21.00 02a58431o0143c
58431.259317  13.911  0.004  9895   44 c  0 392.73 278.53578   9.56705  9968.47  6253.38 2.51 2.39 -24.3 -0.482 19.40 20.92 02a58431o0164c
58432.221081  13.361  0.003 16431   55 o  0 12894.43 278.53578   9.56705  9044.32  6421.52 3.63 3.40  20.8 -0.445 18.82 20.56 01a58432o0003o
58432.228848  13.372  0.003 16257   54 o  0 4338.83 278.53578   9.56705  9032.26  6559.49 3.28 3.18  53.1 -0.453 18.93 20.44 01a58432o0019o
58434.200583  13.985  0.004  9246   34 c  0 1594.79 278.53578   9.56705  2044.06  5598.48 2.68 2.48 -60.1 -0.407 19.15 20.44 02a58434o0041c
58434.209098  14.000  0.004  9124   36 c  0 3873.41 278.53578   9.56705  2026.55  5558.88 2.62 2.43 -56.8 -0.408 19.32 20.73 02a58434o0059c
58434.218900  13.941  0.004  9626   34 c  0 947.82 278.53578   9.56705  2085.38  5635.41 2.56 2.43 -58.0 -0.424 19.28 20.67 02a58434o0080c
58434.228785  13.968  0.004  9395   36 c  0 2001.28 278.53578   9.56705  2105.77  5518.34 2.50 2.39 -65.6 -0.424 19.26 20.61 02a58434o0101c
58435.221479  13.982  0.004  9274   36 c  0 1327.46 278.53578   9.56705  9426.10  4657.42 2.74 2.44 -47.4 -0.409 19.22 20.51 02a58435o0086c
58435.231466  13.983  0.004  9260   34 c  0 7504.78 278.53578   9.56705  9408.54  4617.79 2.72 2.44 -49.7 -0.419 19.15 20.44 02a58435o0107c
58435.241500  13.997  0.005  9142   42 c  0 434.78 278.53578   9.56705  9466.33  4695.73 2.69 2.46 -44.5 -0.427 19.14 20.36 02a58435o0128c
58435.251362  14.013  0.005  9012   43 c  0 784.37 278.53578   9.56705  9485.04  4579.96 2.69 2.46 -40.4 -0.436 19.06 20.28 02a58435o0149c
58436.195190  13.309  0.004 17229   62 o  0 1441.13 278.53578   9.56705  7087.13  6598.78 2.96 2.77  85.6 -0.466 18.63 19.68 01a58436o0039o
58436.209444  13.309  0.004 17230   61 o  0 840.39 278.53578   9.56705  7122.68  6679.43 3.08 2.85 -89.8 -0.451 18.77 20.03 01a58436o0069o
58436.219670  13.273  0.003 17821   58 o  0 747.83 278.53578   9.56705  7077.57  6631.41 3.12 2.85 -82.8 -0.455 18.72 19.94 01a58436o0090o
58436.226469  13.301  0.003 17364   58 o  0 1928.20 278.53578   9.56705  7066.13  6766.23 3.10 2.84 -84.3 -0.450 18.70 19.91 01a58436o0098o
58438.235391 -14.745  1.972 -4591 9056 o  0   1.02 278.53578   9.56705  2398.68  3951.70 2.77 2.65  16.7 -0.483 12.35 12.55 02a58438o0120o
58442.215037  13.364  0.003 16388   54 o  0 299.06 278.53578   9.56705  1636.86  4661.13 2.39 2.07 -64.3 -0.406 18.57 19.09 02a58442o0042o
58442.215953  13.383  0.004 16094   60 o  0 201.86 278.53578   9.56705  1615.62  4623.82 2.52 2.16 -66.2 -0.397 18.54 19.08 02a58442o0044o
58442.225504  13.310  0.003 17221   57 o  0 243.94 278.53578   9.56705  1675.18  4699.03 2.22 2.03 -68.5 -0.445 18.52 18.98 02a58442o0063o
58442.233252  13.352  0.003 16560   57 o  0 223.16 278.53578   9.56705  1691.79  4585.65 2.43 2.04 -67.3 -0.402 18.46 18.88 02a58442o0079o
58448.193496  13.537  0.007 13966   95 o  0 1056.54 278.53578   9.56705  8698.86  5856.60 3.65 2.80 -86.2 -0.464 17.93 18.63 01a58448o0040o
58448.196607  13.495  0.005 14520   67 o  0 1566.24 278.53578   9.56705  8721.49  5901.95 3.64 2.71 -86.3 -0.466 18.11 19.27 01a58448o0046o
58448.206325  13.467  0.005 14907   74 o  0 2874.49 278.53578   9.56705  8673.07  5849.33 3.77 2.89 -88.1 -0.458 17.93 19.82 01a58448o0065o
58448.216803  13.428  0.004 15450   61 o  0 10032.42 278.53578   9.56705  8666.51  5990.20 4.03 3.07 -85.7 -0.428 17.95 22.05 01a58448o0086o
58450.191047  13.441  0.005 15266   82 o  0 146.80 278.53578   9.56705   950.54  4118.13 2.24 2.23 -34.0 -0.439 17.62 17.68 02a58450o0034o
58450.198077  13.306  0.003 17281   55 o  0 363.89 278.53578   9.56705  1007.76  4195.64 2.25 2.19 -10.7 -0.457 18.59 19.26 02a58450o0048o
58450.207481  13.285  0.003 17613   52 o  0 1200.72 278.53578   9.56705  1026.33  4078.03 2.21 2.17   7.7 -0.469 18.94 19.93 02a58450o0067o
58454.193542  13.529  0.354 14076 4990 c  0   1.39 278.53578   9.56705  9601.47  2902.59 2.69 2.46 -44.9 -0.444 13.20 13.82 02a58454o0022c
58454.194000  14.035  0.269  8827 2372 c  0   1.35 278.53578   9.56705  9582.06  2863.56 2.68 2.43 -48.1 -0.453 13.97 14.57 02a58454o0023c
58454.194457  13.898  0.078 10017  781 c  0   1.63 278.53578   9.56705  9639.32  2941.78 2.73 2.44 -49.9 -0.451 15.06 15.65 02a58454o0024c
58454.210826  14.143  0.021  7994  167 c  0  28.29 278.53578   9.56705  9655.93  2825.77 2.72 2.61 -32.5 -0.437 17.00 18.30 02a58454o0058c
58460.194352  14.238  0.010  7325   70 c  0 804.17 278.53578   9.56705  8911.05  4805.57 3.00 2.85 -43.0 -0.406 17.83 18.83 02a58460o0036c
58513.665984 -18.527  0.458  -141   64 o  0   2.33 278.53578   9.56705    42.64   615.57 3.39 3.28  10.6 -0.457 18.60 19.73 01a58513o0499o
58536.654695  13.439  0.004 15283   61 o  0 15521.80 278.53578   9.56705  8078.67  6387.13 3.90 3.28 -84.5 -0.425 18.44 19.65 01a58536o0861o
58536.662979  13.493  0.005 14545   69 o  0 6337.77 278.53578   9.56705  8058.35  6345.36 3.93 3.16 -85.6 -0.435 18.31 19.23 01a58536o0878o
58561.631540  13.432  0.004 15382   55 o  0 3861.43 278.53578   9.56705    67.70  4532.59 2.83 2.83  76.4 -0.527 18.87 20.08 01a58561o0832o
58575.638851  13.978  0.004  9309   36 c  0 365.24 278.53578   9.56705  6565.12  9979.99 2.65 2.52 -48.1 -0.427 19.42 20.99 02a58575o0610c
58575.648942  14.064  0.010  8596   82 c  0  94.11 278.53578   9.56705  6584.91 10022.10 2.79 2.67 -46.9 -0.460 17.90 18.79 02a58575o0628c
58577.634446  13.327  0.003 16953   49 o  0 28272.64 278.53578   9.56705  3965.84  2534.16 3.15 2.82 -15.2 -0.480 19.19 20.89 01a58577o0816o
58577.648045  13.507  0.005 14364   77 o  0 3941.43 278.53578   9.56705  3944.84  2497.36 3.09 2.74 -13.8 -0.492 17.50 18.10 01a58577o0834o
58578.632924  13.959  0.004  9475   36 c  0 189.02 278.53578   9.56705 10170.93  2190.38 2.84 2.40 -55.6 -0.438 19.55 21.36 02a58578o0856c
58578.641902  13.991  0.004  9197   40 c  0 147.35 278.53578   9.56705 10191.26  2231.66 2.68 2.23 -58.4 -0.449 18.96 19.97 02a58578o0875c
58578.642382  13.979  0.004  9295   39 c  0 229.04 278.53578   9.56705   574.27  2195.73 2.74 2.32 -48.5 -0.426 18.86 19.82 02a58578o0876c
58580.625794  13.395  0.003 15919   52 o  0 18751.57 278.53578   9.56705   424.43  6475.48 3.15 3.06 -32.7 -0.435 19.09 20.79 01a58580o0568o
58580.634812  13.383  0.003 16102   48 o  0 5404.57 278.53578   9.56705   403.69  6436.82 2.78 2.68 -36.9 -0.480 19.03 20.44 01a58580o0586o
58580.641941  13.549  0.005 13817   76 o  0 2947.19 278.53578   9.56705 10002.92  6357.10 3.11 2.99  78.0 -0.488 18.17 18.99 01a58580o0600o
58580.644577  13.609  0.009 13075  114 o  0 258.75 278.53578   9.56705   462.79  6514.18 2.83 2.64 -25.8 -0.507 17.63 18.25 01a58580o0605o
58582.625769  13.853  0.003 10445   34 c  0 461.34 278.53578   9.56705  6610.82  6093.64 2.47 2.41 -65.7 -0.414 19.50 21.37 02a58582o0832c
58582.635116  13.871  0.004 10275   37 c  0 283.53 278.53578   9.56705  6631.08  6133.18 2.56 2.54 -70.6 -0.405 19.32 20.84 02a58582o0851c
58582.644149  13.876  0.005 10220   53 c  0  41.85 278.53578   9.56705  6575.80  6057.18 2.49 2.48 -66.9 -0.415 18.11 18.99 02a58582o0870c
58584.624570  13.344  0.004 16685   71 o  0 13672.60 278.53578   9.56705  4322.63  6407.27 3.11 2.94 -10.4 -0.434 18.32 19.89 01a58584o0643o
58589.565109  18.049  0.135   219   30 o  0   1.58 278.53578   9.56705    42.90  2587.29 2.89 2.75 -86.3 -0.533 18.98 20.19 01a58589o0692o
58589.575775  13.454  0.004 15084   54 o  0 10038.02 278.53578   9.56705  9772.96  2474.22 3.11 2.84 -72.2 -0.472 18.88 20.21 01a58589o0708o
58589.587691  13.446  0.003 15190   52 o  0 13517.47 278.53578   9.56705  9751.86  2434.16 3.08 2.83 -73.5 -0.479 18.99 20.39 01a58589o0725o
58589.588198  13.487  0.004 14631   60 o  0 3874.83 278.53578   9.56705    79.30  2628.49 2.83 2.81 -86.0 -0.528 19.08 20.45 01a58589o0726o
58589.598865  13.464  0.004 14941   56 o  0 8438.05 278.53578   9.56705  9811.84  2511.49 3.17 3.01 -61.1 -0.458 19.09 20.72 01a58589o0742o
58589.599359  13.453  0.003 15098   48 o  0 11817.49 278.53578   9.56705    99.23  2512.36 2.82 2.71  70.1 -0.539 19.24 20.77 01a58589o0743o
58589.609702  13.447  0.003 15179   50 o  0 17853.23 278.53578   9.56705  9829.79  2394.06 3.10 2.85 -72.1 -0.476 19.22 20.84 01a58589o0759o
58592.556285  13.424  0.004 15496   62 o  0 9895.44 278.53578   9.56705  7827.36  4435.55 3.44 3.10  -7.6 -0.437 18.26 19.23 01a58592o0686o
58592.565191  13.468  0.004 14886   63 o  0 8118.32 278.53578   9.56705  7807.69  4397.97 3.18 2.98  -8.7 -0.441 18.33 19.27 01a58592o0704o
58592.573368  13.408  0.004 15735   58 o  0 10094.73 278.53578   9.56705  7864.64  4474.62 3.38 2.90  -8.3 -0.433 18.26 19.29 01a58592o0721o
58592.582217  13.487  0.004 14629   60 o  0 8583.92 278.53578   9.56705  7881.77  4358.43 3.01 2.93 -36.8 -0.461 18.37 19.33 01a58592o0739o
58593.560988  13.324  0.004 16998   68 o  0  96.31 278.53578   9.56705  4676.95  8030.11 2.52 2.39  30.2 -0.425 18.49 19.16 02a58593o0715o
58593.570722  13.336  0.004 16816   60 o  0 280.64 278.53578   9.56705  4696.41  8069.03 2.61 2.33  37.5 -0.420 18.58 19.18 02a58593o0736o
58593.580364  13.361  0.004 16427   67 o  0 162.07 278.53578   9.56705  4640.24  7991.56 2.81 2.47  36.4 -0.417 18.48 19.21 02a58593o0757o
58593.590096  13.311  0.003 17196   58 o  0 285.92 278.53578   9.56705  4621.43  8108.86 2.24 2.11  34.8 -0.445 18.69 19.26 02a58593o0778o
58594.590221  13.533  0.042 14018  594 H  0   1.40 278.53578   9.56705  9503.15  6099.16 2.48 2.27  45.2 -0.425 15.13 16.97 02a58594o0704H
58596.590523  13.343  0.003 16704   57 o  0 1545.05 278.53578   9.56705  2368.15  6432.16 2.76 2.58 -17.1 -0.522 18.71 19.74 01a58596o0756o
58596.608346  13.315  0.003 17145   56 o  0 5035.72 278.53578   9.56705  2347.48  6396.57 2.78 2.58 -12.9 -0.510 18.72 19.76 01a58596o0794o
58596.617832  13.304  0.003 17313   59 o  0 747.61 278.53578   9.56705  8097.58  4078.47 3.16 2.92 -13.8 -0.452 18.70 19.85 01a58596o0814o
58596.618985  13.339  0.003 16768   54 o  0 5842.99 278.53578   9.56705  2441.53  6358.21 2.86 2.63 -17.6 -0.505 18.67 19.76 01a58596o0816o
58605.573064  13.370  0.003 16288   50 o  0 29668.22 278.53578   9.56705  7808.59  2492.85 3.12 2.93 -47.1 -0.462 19.16 20.96 01a58605o0670o
58605.583664  13.311  0.003 17198   54 o  0 13788.30 278.53578   9.56705  7784.22  2454.50 3.19 3.04 -25.9 -0.446 18.90 20.67 01a58605o0688o
58605.594421  13.310  0.003 17220   52 o  0 10378.96 278.53578   9.56705  7841.49  2531.78 3.07 2.90 -28.2 -0.461 19.08 20.84 01a58605o0707o
58605.604225  13.296  0.003 17443   54 o  0 23029.51 278.53578   9.56705  7857.22  2415.09 3.57 3.37 -37.8 -0.434 18.89 20.76 01a58605o0725o
58607.577321  13.845  0.003 10520   34 c  0 27636.53 278.53578   9.56705  2085.93   580.72 3.12 2.61 -47.9 -0.423 19.61 21.54 02a58607o0713c
58607.592679  13.847  0.003 10496   35 c  0 13170.64 278.53578   9.56705  2060.23   537.78 3.13 2.66 -45.4 -0.421 19.57 21.55 02a58607o0745c
58607.602605  13.873  0.003 10251   35 c  0 5987.37 278.53578   9.56705  2111.64   613.56 3.03 2.53 -44.9 -0.434 19.66 21.55 02a58607o0764c
58607.613872  13.857  0.003 10409   35 c  0 8883.47 278.53578   9.56705  2126.39   497.17 3.12 2.60 -50.0 -0.425 19.56 21.45 02a58607o0783c
58610.574588  17.517  0.079   357   28 c  0  69.12 278.53578   9.56705    87.35  4483.83 2.49 2.36 -59.1 -0.378 19.71 21.61 02a58610o0691c
58610.583833 -17.623  0.083  -324   27 c  0  51.85 278.53578   9.56705    66.49  4446.98 2.51 2.33 -51.6 -0.376 19.65 21.61 02a58610o0710c
58610.584290  13.897  0.003 10030   34 c  0 4275.49 278.53578   9.56705  9802.75  4477.23 2.60 2.51 -68.8 -0.424 19.66 21.57 02a58610o0711c
58610.592955  13.913  0.003  9879   32 c  0 1780.79 278.53578   9.56705   124.05  4525.76 2.43 2.36 -65.0 -0.388 19.69 21.60 02a58610o0729c
58610.593413  13.899  0.003 10010   34 c  0 1594.18 278.53578   9.56705  9782.21  4440.63 2.61 2.52 -67.3 -0.420 19.64 21.56 02a58610o0730c
58610.602267  13.898  0.003 10018   31 c  0 1701.89 278.53578   9.56705   140.14  4409.26 2.48 2.38 -61.5 -0.386 19.66 21.60 02a58610o0748c
58610.602736  13.903  0.003  9969   34 c  0 2176.41 278.53578   9.56705  9839.05  4520.26 2.57 2.52 -55.8 -0.421 19.58 21.57 02a58610o0749c
58610.613137  13.903  0.003  9977   34 c  0 3662.10 278.53578   9.56705  9854.81  4405.27 2.59 2.55  59.0 -0.414 19.60 21.46 02a58610o0768c
58611.519741  13.964  0.004  9426   33 c  0 360.96 278.53578   9.56705  1391.68  6862.11 2.35 2.23 -40.1 -0.448 19.68 21.65 02a58611o0539c
58611.522350  13.981  0.004  9282   33 c  0 430.50 278.53578   9.56705  1408.88  6901.37 2.34 2.24 -48.2 -0.442 19.67 21.64 02a58611o0543c
58611.529080  13.961  0.004  9453   33 c  0 325.25 278.53578   9.56705  1358.54  6823.40 2.36 2.20 -50.1 -0.441 19.69 21.63 02a58611o0553c
58611.555986  13.987  0.004  9226   33 c  0 338.92 278.53578   9.56705  1333.90  6941.64 2.35 2.29 -21.5 -0.438 19.67 21.66 02a58611o0599c
58613.486291  13.390  0.003 15998   53 o  0 17716.74 278.53578   9.56705  9156.77  3645.48 3.14 2.86 -18.9 -0.463 19.11 20.74 01a58613o0480o
58613.489139  13.403  0.003 15805   53 o  0 19482.38 278.53578   9.56705  9138.62  3609.08 3.08 2.91 -27.7 -0.462 19.11 20.77 01a58613o0486o
58613.502103  13.362  0.003 16417   53 o  0 10331.71 278.53578   9.56705  9198.19  3685.31 3.21 2.90 -11.4 -0.452 19.12 20.82 01a58613o0510o
58613.508098  13.377  0.003 16190   52 o  0 16136.74 278.53578   9.56705  9213.93  3566.37 3.02 2.91 -19.7 -0.464 19.14 20.78 01a58613o0521o
58615.453899  13.297  0.003 17424   51 o  0 478.74 278.53578   9.56705  5766.32  9099.41 2.20 2.14  47.0 -0.454 19.33 20.52 02a58615o0455o
58615.456686  13.288  0.003 17573   52 o  0 442.11 278.53578   9.56705  5785.58  9138.48 2.20 2.17  37.3 -0.453 19.35 20.53 02a58615o0461o
58615.479330  13.284  0.003 17640   48 o  0 780.24 278.53578   9.56705  5728.92  9053.05 2.22 2.19 -34.3 -0.459 19.48 20.91 02a58615o0506o
58615.493861  13.303  0.003 17328   48 o  0 721.20 278.53578   9.56705  5703.79  9178.98 2.23 2.14 -42.8 -0.463 19.54 21.05 02a58615o0535o
58618.502435  13.284  0.003 17630   47 o  0 956.00 278.53578   9.56705  6093.21  4735.10 2.28 1.77  41.7 -0.469 19.17 20.16 02a58618o0572o
58618.505655  13.303  0.003 17331   47 o  0 945.00 278.53578   9.56705  6111.39  4772.87 2.36 1.77  42.8 -0.467 19.22 20.17 02a58618o0579o
58618.512116  13.270  0.003 17858   45 o  0 1320.39 278.53578   9.56705  6056.61  4698.85 2.28 1.80  41.1 -0.468 19.20 20.18 02a58618o0592o
58618.524158  13.285  0.003 17625   47 o  0 1065.80 278.53578   9.56705  6037.20  4811.66 2.29 1.77  38.3 -0.464 19.17 20.21 02a58618o0617o
58619.486969  13.350  0.003 16590   48 o  0 668.23 278.53578   9.56705  6086.36  4738.36 2.23 1.78  43.3 -0.472 19.02 19.76 02a58619o0460o
58619.491907  13.373  0.003 16247   53 o  0 342.52 278.53578   9.56705  6106.47  4776.73 2.21 1.80  43.9 -0.459 19.01 19.78 02a58619o0470o
58619.502138  13.341  0.003 16736   48 o  0 572.83 278.53578   9.56705  6046.63  4700.38 2.17 1.78  43.6 -0.461 19.10 19.81 02a58619o0489o
58619.514694  13.337  0.003 16793   51 o  0 405.40 278.53578   9.56705  6029.88  4817.22 2.15 1.81  41.7 -0.471 19.05 19.83 02a58619o0512o
58620.452847  13.400  0.004 15853   56 o  0 1998.24 278.53578   9.56705  4694.98  9710.29 2.83 2.66 -11.3 -0.479 18.55 19.56 01a58620o0473o
58620.455623  13.403  0.003 15802   54 o  0 2667.26 278.53578   9.56705  4675.97  9671.35 2.83 2.68 -11.8 -0.483 18.55 19.57 01a58620o0479o
58620.460908  13.393  0.004 15952   58 o  0 1559.97 278.53578   9.56705  4734.10  9748.99 2.75 2.63 -55.6 -0.526 18.53 19.57 01a58620o0490o
58620.470606  13.402  0.003 15825   54 o  0 2290.00 278.53578   9.56705  4753.97  9630.99 2.85 2.67 -14.9 -0.485 18.60 19.61 01a58620o0511o
58622.441187  13.443  0.019 15229  292 H  0   5.49 278.53578   9.56705  6078.26  4736.38 2.79 2.02  42.0 -0.409 16.46 18.62 02a58622o0448H
58624.553324  13.322  0.003 17024   58 o  0 520.06 278.53578   9.56705  5683.34  7161.58 2.98 2.73 -11.1 -0.460 18.63 19.67 01a58624o0693o
58624.560539  13.297  0.003 17426   58 o  0 1047.51 278.53578   9.56705  5704.72  7199.93 3.00 2.75 -10.4 -0.455 18.57 19.66 01a58624o0708o
58624.579365  13.339  0.004 16765   63 o  0 1699.39 278.53578   9.56705  5648.17  7119.65 3.07 2.74  -6.9 -0.440 18.63 19.63 01a58624o0748o
58624.587969  13.300  0.004 17374   64 o  0 3343.90 278.53578   9.56705  5633.62  7235.43 3.33 2.93  -0.6 -0.430 18.50 19.60 01a58624o0766o
58624.625833  13.704  0.022 11982  259 o  0  58.91 278.53578   9.56705  5681.39  7172.49 3.20 2.94 -10.0 -0.523 17.14 17.55 01a58624o0842o
58626.530464  13.319  0.003 17072   57 o  0 195.15 278.53578   9.56705  7868.34   749.76 2.09 1.77 -54.5 -0.476 19.11 20.01 02a58626o0642o
58626.534056  13.329  0.003 16917   49 o  0 514.94 278.53578   9.56705  7888.97   793.33 2.12 1.83 -52.6 -0.469 19.06 20.01 02a58626o0649o
58626.541763  13.341  0.003 16727   48 o  0 833.11 278.53578   9.56705  2764.45  9854.82 2.39 2.16 -45.5 -0.457 19.01 19.86 02a58626o0665o
58626.554341  13.361  0.003 16426   54 o  0 236.28 278.53578   9.56705  2779.06  9736.15 2.25 2.00 -47.7 -0.467 19.05 19.90 02a58626o0691o
58628.534299  13.330  0.003 16906   48 o  0 21628.35 278.53578   9.56705  4853.26  3402.14 3.14 2.75 -12.5 -0.496 19.10 20.60 01a58628o0650o
58628.537599  13.336  0.003 16805   49 o  0 18216.76 278.53578   9.56705  4832.27  3366.04 3.15 2.77 -16.9 -0.497 19.15 20.60 01a58628o0657o
58628.543808  13.330  0.003 16903   51 o  0 4536.26 278.53578   9.56705  5644.06  7124.79 3.39 2.80  -2.2 -0.450 19.03 20.71 01a58628o0670o
58628.556078  13.317  0.003 17103   51 o  0 4008.16 278.53578   9.56705  5629.90  7239.61 3.51 2.79   0.4 -0.442 19.05 20.76 01a58628o0695o
58629.425514  13.299  0.003 17389   59 o  0 8317.40 278.53578   9.56705  4863.58  3397.12 3.09 2.71  -9.6 -0.494 19.14 20.93 01a58629o0399o
58629.436049  13.283  0.003 17655   56 o  0 13786.97 278.53578   9.56705  4842.23  3358.47 3.04 2.70 -10.3 -0.498 19.24 21.11 01a58629o0418o
58629.441751  13.291  0.003 17521   59 o  0 14842.06 278.53578   9.56705  4902.96  3436.53 3.21 2.75 -10.5 -0.489 19.11 20.96 01a58629o0429o
58629.457956  13.271  0.003 17846   60 o  0 15550.85 278.53578   9.56705  4921.97  3319.10 3.02 2.74 -12.8 -0.490 18.80 20.40 01a58629o0460o
58630.506568  13.321  0.003 17046   52 o  0 318.93 278.53578   9.56705  7867.85   744.06 2.11 1.70 -53.6 -0.494 19.40 20.87 02a58630o0586o
58630.509389  13.314  0.003 17153   52 o  0 389.07 278.53578   9.56705  7887.88   785.13 2.04 1.70 -56.2 -0.497 19.41 20.85 02a58630o0592o
58630.516384  13.321  0.003 17038   49 o  0 564.75 278.53578   9.56705  7829.60   708.00 2.04 1.69 -53.6 -0.498 19.43 20.83 02a58630o0607o
58630.537108  13.320  0.003 17054   50 o  0 437.54 278.53578   9.56705  2783.25  9735.99 2.18 1.94 -50.6 -0.481 19.36 20.73 02a58630o0651o
58632.517443  13.318  0.003 17093   54 o  0 3611.29 278.53578   9.56705  9696.39   562.75 3.23 3.00 -42.3 -0.458 19.29 21.33 01a58632o0576o
58632.520776  13.277  0.003 17749   51 o  0 1917.26 278.53578   9.56705  9716.85   600.51 3.19 2.98 -49.8 -0.467 19.25 21.25 01a58632o0583o
58632.538105  13.295  0.003 17460   51 o  0 4483.86 278.53578   9.56705  9660.21   517.97 3.19 3.07 -47.3 -0.459 19.27 21.27 01a58632o0619o
58632.550304  13.295  0.003 17466   53 o  0 4964.36 278.53578   9.56705  9643.43   635.49 3.25 3.01 -15.8 -0.453 19.15 21.12 01a58632o0644o
58634.495301  13.943  0.003  9616   33 c  0 339.38 278.53578   9.56705  7946.67  2695.90 2.44 2.34 -71.2 -0.403 19.61 21.61 02a58634o0566c
58634.500515  13.954  0.003  9511   32 c  0 381.21 278.53578   9.56705  7963.43  2736.22 2.43 2.38  84.5 -0.401 19.68 21.61 02a58634o0577c
58634.508641  13.980  0.004  9291   33 c  0 2222.72 278.53578   9.56705  2686.94  7900.90 2.45 2.36  31.4 -0.414 19.69 21.63 02a58634o0594c
58634.511169  13.942  0.003  9618   32 c  0 545.00 278.53578   9.56705  7886.01  2778.48 2.46 2.41 -82.7 -0.404 19.64 21.64 02a58634o0599c
58636.527919  13.357  0.003 16487   51 o  0 2807.58 278.53578   9.56705  9700.08   555.15 3.16 3.04 -40.9 -0.461 19.19 21.01 01a58636o0615o
58636.537623  13.331  0.003 16887   54 o  0 5353.75 278.53578   9.56705  9720.59   593.93 3.49 3.17  -8.4 -0.448 19.12 21.02 01a58636o0635o
58636.540428  13.315  0.003 17138   49 o  0 2561.97 278.53578   9.56705  9660.82   515.53 3.24 3.06 -26.6 -0.458 19.19 21.06 01a58636o0641o
