MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57436.625623  13.763  0.005 11346   56 c  0 3785.21 278.53578   9.56705 10246.96  1751.53 5.04 4.13  22.6 -0.449 19.10 21.01 02a57436o0690c
57436.632751  13.793  0.005 11038   50 c  0 5700.94 278.53578   9.56705  9081.44  2352.22 4.63 4.02  22.2 -0.424 19.15 21.02 02a57436o0702c
57436.636601  13.849  0.005 10479   50 c  0 6275.78 278.53578   9.56705  8811.52  2159.23 4.32 3.84  28.6 -0.446 19.22 21.03 02a57436o0708c
57490.612701  13.849  0.005 10477   51 c  0 6135.63 278.53578   9.56705  9934.31  1115.99 4.22 3.77  39.4 -0.487 19.47 21.37 02a57490o0790c
57490.626669  13.640  0.004 12702   48 c  0 7245.78 278.53578   9.56705   204.71  1102.38 4.85 3.77 -27.6 -0.440 19.42 21.23 02a57490o0814c
57490.632420  13.569  0.004 13562   51 c  0 4380.04 278.53578   9.56705   408.41  8962.73 5.90 4.25   0.5 -0.360 18.90 20.77 02a57490o0824c
57493.597991  13.274  0.004 17801   80 o  0 5573.24 278.53578   9.56705  9762.87  1173.58 4.15 3.55  34.8 -0.547 19.03 20.54 02a57493o0728o
57493.616050  15.851  0.461  1657  763 o  0   0.26 278.53578   9.56705    31.76  1155.63 5.23 3.57 -29.7 -0.479 18.94 20.40 02a57493o0760o
57493.617017  13.307  0.004 17268   75 o  0 7028.78 278.53578   9.56705 10050.70  1762.54 3.94 3.44  56.9 -0.539 19.01 20.48 02a57493o0762o
57493.635567  13.164  0.004 19690   82 o  0 4477.59 278.53578   9.56705   327.91  1754.93 4.59 3.46 -33.3 -0.498 18.48 19.39 02a57493o0794o
57493.637563  13.454  0.006 15074   91 o  0 745.97 278.53578   9.56705  8882.41  2369.72 3.63 3.25  68.3 -0.537 18.29 18.96 02a57493o0797o
57500.601797  13.497  0.013 14499  187 o  0 228.82 278.53578   9.56705  9401.77  1177.14 3.45 2.81  47.1 -0.703 17.58 18.86 02a57500o0719o
57500.628441  13.441  0.005 15259   83 o  0 6106.52 278.53578   9.56705  1135.07  9328.60 4.03 3.68 -57.9 -0.479 18.29 19.05 02a57500o0761o
57525.508875  13.385  0.005 16070   75 o  0 6345.43 278.53578   9.56705  8335.59  1998.82 3.84 3.47  31.5 -0.541 18.76 19.97 02a57525o0529o
57525.533081  13.350  0.005 16592   75 o  0 4836.61 278.53578   9.56705  8357.61  2037.11 4.11 3.80  30.3 -0.501 18.75 20.12 02a57525o0568o
57525.549313  13.374  0.004 16230   72 o  0 3483.66 278.53578   9.56705  8301.90  1957.48 3.75 3.40  33.2 -0.539 18.95 20.32 02a57525o0597o
57525.559901  13.397  0.004 15897   63 o  0 19232.84 278.53578   9.56705  2263.54  8458.06 3.60 3.45 -78.7 -0.482 18.99 20.38 02a57525o0617o
57525.579119  13.346  0.004 16664   62 o  0 16819.69 278.53578   9.56705  2224.07  8524.52 3.70 3.52 -75.6 -0.479 19.04 20.52 02a57525o0654o
57537.514908  13.931  0.005  9717   48 c  0 9550.83 278.53578   9.56705  9675.84  9590.35 4.16 3.59  81.8 -0.446 19.20 20.76 02a57537o0538c
57537.523171  13.954  0.005  9519   49 c  0 7410.47 278.53578   9.56705  9651.20  9550.71 4.17 3.58  80.0 -0.444 19.19 20.74 02a57537o0552c
57537.542441  13.938  0.005  9654   46 c  0 9494.04 278.53578   9.56705  9708.91  9631.93 4.26 3.66  77.9 -0.439 19.17 20.73 02a57537o0589c
57537.554441  13.938  0.005  9652   46 c  0 9984.53 278.53578   9.56705  9727.06  9515.49 4.17 3.55  79.6 -0.447 19.17 20.70 02a57537o0611c
57537.560512  13.948  0.005  9568   47 c  0 9599.78 278.53578   9.56705  9685.88  9572.86 4.31 3.68  82.2 -0.436 19.14 20.70 02a57537o0623c
57543.501343  13.617  0.005 12972   60 c  0 4277.76 278.53578   9.56705   911.88  2326.02 4.64 3.63 -29.3 -0.467 19.04 20.96 02a57543o0540c
